year type stratum sex age value 
2009 N 1 1 1 17.4022
2009 N 1 1 2 2658.82
2009 N 1 1 3 529.964
2009 N 1 1 4 1756.8
2009 N 1 1 5 709.541
2009 N 1 1 6 874.294
2009 N 1 1 7 3057.21
2009 N 1 1 8 1964.88
2009 N 1 1 9 2955.51
2009 N 1 1 10 451.244
2009 N 1 1 11 28.6114
2009 N 1 1 12 0
2009 N 1 1 13 0
2009 N 1 1 14 0
2009 N 1 1 15 0
2009 Biomass 1 1 1 3.92009
2009 Biomass 1 1 2 1524.88
2009 Biomass 1 1 3 435.44
2009 Biomass 1 1 4 1420.54
2009 Biomass 1 1 5 566.766
2009 Biomass 1 1 6 782.608
2009 Biomass 1 1 7 2720.9
2009 Biomass 1 1 8 1855.54
2009 Biomass 1 1 9 2795.59
2009 Biomass 1 1 10 419.098
2009 Biomass 1 1 11 33.0303
2009 Biomass 1 1 12 0
2009 Biomass 1 1 13 0
2009 Biomass 1 1 14 0
2009 Biomass 1 1 15 0
2009 N_Kimura   1 1 1 17.1433
2009 N_Kimura   1 1 2 2619.27
2009 N_Kimura   1 1 3 522.079
2009 N_Kimura   1 1 4 1730.67
2009 N_Kimura   1 1 5 698.984
2009 N_Kimura   1 1 6 861.286
2009 N_Kimura   1 1 7 3011.73
2009 N_Kimura   1 1 8 1935.65
2009 N_Kimura   1 1 9 2911.54
2009 N_Kimura   1 1 10 444.531
2009 N_Kimura   1 1 11 28.1858
2009 N_Kimura   1 1 12 0
2009 N_Kimura   1 1 13 0
2009 N_Kimura   1 1 14 0
2009 N_Kimura   1 1 15 0
2009 avg_wt_age 1 1 1 0.225264
2009 avg_wt_age 1 1 2 0.573517
2009 avg_wt_age 1 1 3 0.821642
2009 avg_wt_age 1 1 4 0.808596
2009 avg_wt_age 1 1 5 0.798779
2009 avg_wt_age 1 1 6 0.895132
2009 avg_wt_age 1 1 7 0.889992
2009 avg_wt_age 1 1 8 0.94435
2009 avg_wt_age 1 1 9 0.945893
2009 avg_wt_age 1 1 10 0.928761
2009 avg_wt_age 1 1 11 1.15444
2009 avg_wt_age 1 1 12 0
2009 avg_wt_age 1 1 13 0
2009 avg_wt_age 1 1 14 0
2009 avg_wt_age 1 1 15 0
2009 N 1 2 1 17.0682
2009 N 1 2 2 2565.45
2009 N 1 2 3 407.263
2009 N 1 2 4 2430.36
2009 N 1 2 5 1346.24
2009 N 1 2 6 1729.55
2009 N 1 2 7 3264.98
2009 N 1 2 8 1509.51
2009 N 1 2 9 1278.49
2009 N 1 2 10 254.637
2009 N 1 2 11 163.6
2009 N 1 2 12 0
2009 N 1 2 13 37.1577
2009 N 1 2 14 0
2009 N 1 2 15 0
2009 Biomass 1 2 1 4.19177
2009 Biomass 1 2 2 1597.34
2009 Biomass 1 2 3 337.073
2009 Biomass 1 2 4 2220.11
2009 Biomass 1 2 5 1264.88
2009 Biomass 1 2 6 1681.87
2009 Biomass 1 2 7 3208.81
2009 Biomass 1 2 8 1580.11
2009 Biomass 1 2 9 1409.66
2009 Biomass 1 2 10 300.849
2009 Biomass 1 2 11 157.922
2009 Biomass 1 2 12 0
2009 Biomass 1 2 13 95.8669
2009 Biomass 1 2 14 0
2009 Biomass 1 2 15 0
2009 N_Kimura   1 2 1 16.8938
2009 N_Kimura   1 2 2 2539.24
2009 N_Kimura   1 2 3 403.103
2009 N_Kimura   1 2 4 2405.53
2009 N_Kimura   1 2 5 1332.49
2009 N_Kimura   1 2 6 1711.89
2009 N_Kimura   1 2 7 3231.63
2009 N_Kimura   1 2 8 1494.09
2009 N_Kimura   1 2 9 1265.43
2009 N_Kimura   1 2 10 252.036
2009 N_Kimura   1 2 11 161.929
2009 N_Kimura   1 2 12 0
2009 N_Kimura   1 2 13 36.7782
2009 N_Kimura   1 2 14 0
2009 N_Kimura   1 2 15 0
2009 avg_wt_age 1 2 1 0.24559
2009 avg_wt_age 1 2 2 0.622636
2009 avg_wt_age 1 2 3 0.827656
2009 avg_wt_age 1 2 4 0.913489
2009 avg_wt_age 1 2 5 0.93957
2009 avg_wt_age 1 2 6 0.972434
2009 avg_wt_age 1 2 7 0.982797
2009 avg_wt_age 1 2 8 1.04677
2009 avg_wt_age 1 2 9 1.1026
2009 avg_wt_age 1 2 10 1.18149
2009 avg_wt_age 1 2 11 0.965294
2009 avg_wt_age 1 2 12 0
2009 avg_wt_age 1 2 13 2.58
2009 avg_wt_age 1 2 14 0
2009 avg_wt_age 1 2 15 0
2009 p 1 1 1 0.000579908
2009 p 1 1 2 0.0886021
2009 p 1 1 3 0.0176604
2009 p 1 1 4 0.0585434
2009 p 1 1 5 0.0236446
2009 p 1 1 6 0.0291348
2009 p 1 1 7 0.101878
2009 p 1 1 8 0.0654774
2009 p 1 1 9 0.0984888
2009 p 1 1 10 0.0150372
2009 p 1 1 11 0.000953442
2009 p 1 1 12 0
2009 p 1 1 13 0
2009 p 1 1 14 0
2009 p 1 1 15 0
2009 p 1 2 1 0.000568776
2009 p 1 2 2 0.0854905
2009 p 1 2 3 0.0135715
2009 p 1 2 4 0.0809888
2009 p 1 2 5 0.0448618
2009 p 1 2 6 0.0576352
2009 p 1 2 7 0.108801
2009 p 1 2 8 0.0503025
2009 p 1 2 9 0.042604
2009 p 1 2 10 0.00848546
2009 p 1 2 11 0.00545178
2009 p 1 2 12 0
2009 p 1 2 13 0.00123824
2009 p 1 2 14 0
2009 p 1 2 15 0
2009 N 2 1 1 1018.7
2009 N 2 1 2 7791.15
2009 N 2 1 3 5275.33
2009 N 2 1 4 6589.21
2009 N 2 1 5 2042.47
2009 N 2 1 6 1126.34
2009 N 2 1 7 3494.17
2009 N 2 1 8 1508.87
2009 N 2 1 9 2151.2
2009 N 2 1 10 190.575
