#Strata	Haul	Sex	Len	Freq
2	1	3	33	1
2	1	3	35	2
2	1	3	36	1
2	1	3	38	4
2	1	3	39	3
2	1	3	40	1
2	1	3	41	1
2	1	3	32	1
2	1	3	33	1
2	1	3	36	1
2	1	3	38	2
2	1	3	40	1
2	1	3	42	1
1	2	3	42	3
1	2	3	44	1
1	2	3	41	1
1	2	3	45	1
1	2	3	47	1
1	2	3	48	1
1	2	3	49	1
1	2	3	40	1
1	2	3	43	1
1	2	3	46	1
1	2	3	48	1
1	2	3	49	3
1	2	3	50	1
1	2	3	52	1
1	3	3	50	1
1	3	3	47	3
1	3	3	46	1
1	3	3	48	1
1	3	3	50	3
1	3	3	49	2
1	3	3	51	2
1	3	3	47	1
1	4	3	49	1
1	4	3	52	1
1	4	3	35	1
1	4	3	50	1
1	4	3	55	1
1	4	3	49	1
1	4	3	48	3
1	4	3	45	1
1	4	3	51	1
1	4	3	46	1
1	4	3	47	3
1	4	3	50	1
1	5	3	51	1
1	5	3	49	1
1	5	3	46	3
1	5	3	47	3
1	5	3	45	2
1	5	3	51	3
1	5	3	52	1
1	5	3	37	1
1	5	3	35	1
1	5	3	49	1
1	5	3	48	1
1	6	3	45	1
1	6	3	46	2
1	6	3	50	1
1	6	3	49	1
1	6	3	49	2
1	6	3	47	1
1	6	3	50	1
1	6	3	44	1
1	6	3	51	1
1	6	3	55	1
1	7	3	45	2
1	7	3	40	1
1	7	3	48	2
1	7	3	51	1
1	7	3	49	4
1	7	3	50	1
1	7	3	47	2
1	7	3	46	1
1	7	3	46	1
1	7	3	51	1
1	7	3	50	3
1	7	3	48	1
1	7	3	49	2
1	8	3	44	2
1	8	3	48	2
1	8	3	50	1
1	8	3	45	3
1	8	3	46	1
1	8	3	43	1
1	8	3	48	2
1	8	3	46	1
1	8	3	33	1
1	8	3	35	1
1	8	3	50	3
1	8	3	44	1
1	9	3	48	2
1	9	3	50	1
1	9	3	47	3
1	9	3	46	1
1	9	3	49	2
1	9	3	48	2
1	9	3	50	2
1	9	3	52	1
1	9	3	51	3
1	9	3	53	1
1	10	3	48	2
1	10	3	49	1
1	10	3	44	2
1	10	3	45	1
1	10	3	46	2
1	10	3	50	2
1	10	3	51	1
1	10	3	48	2
1	10	3	49	2
1	11	3	45	1
1	11	3	49	1
1	11	3	51	2
1	11	3	46	1
1	11	3	47	1
1	11	3	49	3
1	11	3	46	2
1	11	3	48	1
1	11	3	51	1
1	11	3	52	2
1	11	3	50	2
1	12	3	44	2
1	12	3	50	2
1	12	3	38	1
1	12	3	45	1
1	12	3	48	1
1	12	3	49	1
1	12	3	46	2
1	12	3	36	1
1	12	3	34	1
1	12	3	35	1
1	12	3	45	1
1	12	3	48	2
1	12	3	52	1
1	12	3	49	2
1	12	3	53	1
1	12	3	47	1
1	12	3	35	1
1	12	3	36	1
1	13	3	39	1
1	13	3	40	3
1	13	3	41	2
1	13	3	42	1
1	13	3	43	2
1	13	3	38	1
1	13	3	39	1
1	13	3	40	1
1	13	3	41	1
1	13	3	42	9
1	13	3	43	2
1	13	3	44	3
2	14	3	29	1
2	14	3	37	1
2	14	3	38	3
2	14	3	39	2
2	14	3	40	6
2	14	3	41	1
2	14	3	43	1
2	14	3	38	2
2	14	3	41	1
2	15	3	34	1
2	15	3	36	2
2	15	3	37	2
2	15	3	38	4
2	15	3	39	3
2	15	3	40	1
2	15	3	42	1
2	15	3	30	1
2	15	3	33	1
2	15	3	35	1
2	15	3	36	1
2	15	3	37	2
2	15	3	39	1
2	15	3	40	1
2	16	3	29	1
2	16	3	33	1
2	16	3	35	1
2	16	3	36	2
2	16	3	38	1
2	16	3	39	2
2	16	3	40	2
2	16	3	42	1
2	16	3	28	1
2	16	3	36	1
2	16	3	37	2
2	16	3	38	1
2	16	3	40	2
2	16	3	41	2
2	17	3	31	1
2	17	3	33	1
2	17	3	36	2
2	17	3	38	2
2	17	3	39	8
2	17	3	29	1
2	17	3	30	1
2	17	3	31	1
2	17	3	33	2
2	17	3	35	1
2	17	3	36	2
2	17	3	39	2
2	17	3	41	1
1	18	3	39	1
1	18	3	40	1
1	18	3	41	2
1	18	3	37	1
1	18	3	40	5
1	18	3	41	5
1	18	3	42	7
1	18	3	43	1
1	19	3	39	1
1	19	3	41	1
1	19	3	43	2
1	19	3	39	2
1	19	3	40	2
