year type stratum sex age value 
1993 N 1 1 1 0
1993 N 1 1 2 0
1993 N 1 1 3 0
1993 N 1 1 4 0
1993 N 1 1 5 0
1993 N 1 1 6 922.998
1993 N 1 1 7 3627.75
1993 N 1 1 8 6674.25
1993 N 1 1 9 4563.99
1993 N 1 1 10 19696.5
1993 N 1 1 11 3203.93
1993 N 1 1 12 5166.01
1993 N 1 1 13 3940.83
1993 N 1 1 14 1101.91
1993 N 1 1 15 1068.29
1993 N 1 1 16 564.53
1993 N 1 1 17 257.697
1993 N 1 1 18 400.347
1993 N 1 1 19 233.426
1993 N 1 1 20 556.708
1993 Biomass 1 1 1 0
1993 Biomass 1 1 2 0
1993 Biomass 1 1 3 0
1993 Biomass 1 1 4 0
1993 Biomass 1 1 5 0
1993 Biomass 1 1 6 184.6
1993 Biomass 1 1 7 1039.77
1993 Biomass 1 1 8 2305.89
1993 Biomass 1 1 9 1999.17
1993 Biomass 1 1 10 10769.7
1993 Biomass 1 1 11 1938.71
1993 Biomass 1 1 12 3495.16
1993 Biomass 1 1 13 2852.7
1993 Biomass 1 1 14 841.717
1993 Biomass 1 1 15 866.293
1993 Biomass 1 1 16 511.194
1993 Biomass 1 1 17 235.363
1993 Biomass 1 1 18 351.708
1993 Biomass 1 1 19 232.259
1993 Biomass 1 1 20 465.228
1993 N_Kimura   1 1 1 0
1993 N_Kimura   1 1 2 0
1993 N_Kimura   1 1 3 0
1993 N_Kimura   1 1 4 0
1993 N_Kimura   1 1 5 0
1993 N_Kimura   1 1 6 558.747
1993 N_Kimura   1 1 7 2196.1
1993 N_Kimura   1 1 8 4040.33
1993 N_Kimura   1 1 9 2762.86
1993 N_Kimura   1 1 10 11923.5
1993 N_Kimura   1 1 11 1939.54
1993 N_Kimura   1 1 12 3127.3
1993 N_Kimura   1 1 13 2385.63
1993 N_Kimura   1 1 14 667.054
1993 N_Kimura   1 1 15 646.701
1993 N_Kimura   1 1 16 341.745
1993 N_Kimura   1 1 17 156
1993 N_Kimura   1 1 18 242.354
1993 N_Kimura   1 1 19 141.307
1993 N_Kimura   1 1 20 337.009
1993 avg_wt_age 1 1 1 0
1993 avg_wt_age 1 1 2 0
1993 avg_wt_age 1 1 3 0
1993 avg_wt_age 1 1 4 0
1993 avg_wt_age 1 1 5 0
1993 avg_wt_age 1 1 6 0.2
1993 avg_wt_age 1 1 7 0.286615
1993 avg_wt_age 1 1 8 0.34549
1993 avg_wt_age 1 1 9 0.438032
1993 avg_wt_age 1 1 10 0.546782
1993 avg_wt_age 1 1 11 0.605102
1993 avg_wt_age 1 1 12 0.676569
1993 avg_wt_age 1 1 13 0.723884
1993 avg_wt_age 1 1 14 0.76387
1993 avg_wt_age 1 1 15 0.810916
1993 avg_wt_age 1 1 16 0.905521
1993 avg_wt_age 1 1 17 0.913333
1993 avg_wt_age 1 1 18 0.878508
1993 avg_wt_age 1 1 19 0.995
1993 avg_wt_age 1 1 20 0.835677
1993 N 1 2 1 0
1993 N 1 2 2 0
1993 N 1 2 3 0
1993 N 1 2 4 0
1993 N 1 2 5 0
1993 N 1 2 6 0
1993 N 1 2 7 12723.2
1993 N 1 2 8 14724.5
1993 N 1 2 9 17979.2
1993 N 1 2 10 38481.4
1993 N 1 2 11 3162.07
1993 N 1 2 12 3903.18
1993 N 1 2 13 4209.71
1993 N 1 2 14 1969.87
1993 N 1 2 15 264.871
1993 N 1 2 16 127.599
1993 N 1 2 17 844.952
1993 N 1 2 18 1747.41
1993 N 1 2 19 1175.1
1993 N 1 2 20 201.75
1993 Biomass 1 2 1 0
1993 Biomass 1 2 2 0
1993 Biomass 1 2 3 0
1993 Biomass 1 2 4 0
1993 Biomass 1 2 5 0
1993 Biomass 1 2 6 0
1993 Biomass 1 2 7 3324.69
1993 Biomass 1 2 8 4382.29
1993 Biomass 1 2 9 6095.58
1993 Biomass 1 2 10 13639.5
1993 Biomass 1 2 11 1246.62
1993 Biomass 1 2 12 2019.19
1993 Biomass 1 2 13 2006.14
1993 Biomass 1 2 14 904.135
1993 Biomass 1 2 15 213.956
1993 Biomass 1 2 16 119.733
1993 Biomass 1 2 17 388.462
1993 Biomass 1 2 18 720.64
1993 Biomass 1 2 19 627.149
1993 Biomass 1 2 20 167.893
1993 N_Kimura   1 2 1 0
1993 N_Kimura   1 2 2 0
1993 N_Kimura   1 2 3 0
1993 N_Kimura   1 2 4 0
1993 N_Kimura   1 2 5 0
1993 N_Kimura   1 2 6 0
1993 N_Kimura   1 2 7 13374.7
1993 N_Kimura   1 2 8 15478.4
1993 N_Kimura   1 2 9 18899.8
1993 N_Kimura   1 2 10 40451.8
1993 N_Kimura   1 2 11 3323.99
1993 N_Kimura   1 2 12 4103.04
1993 N_Kimura   1 2 13 4425.26
1993 N_Kimura   1 2 14 2070.73
1993 N_Kimura   1 2 15 278.434
1993 N_Kimura   1 2 16 134.133
1993 N_Kimura   1 2 17 888.217
1993 N_Kimura   1 2 18 1836.89
1993 N_Kimura   1 2 19 1235.27
1993 N_Kimura   1 2 20 212.08
1993 avg_wt_age 1 2 1 0
1993 avg_wt_age 1 2 2 0
1993 avg_wt_age 1 2 3 0
1993 avg_wt_age 1 2 4 0
1993 avg_wt_age 1 2 5 0
1993 avg_wt_age 1 2 6 0
1993 avg_wt_age 1 2 7 0.261309
1993 avg_wt_age 1 2 8 0.29762
1993 avg_wt_age 1 2 9 0.339035
1993 avg_wt_age 1 2 10 0.354443
1993 avg_wt_age 1 2 11 0.394242
1993 avg_wt_age 1 2 12 0.51732
1993 avg_wt_age 1 2 13 0.476551
1993 avg_wt_age 1 2 14 0.458983
1993 avg_wt_age 1 2 15 0.807772
1993 avg_wt_age 1 2 16 0.938347
1993 avg_wt_age 1 2 17 0.459745
1993 avg_wt_age 1 2 18 0.412405
1993 avg_wt_age 1 2 19 0.533697
1993 avg_wt_age 1 2 20 0.832185
1993 p 1 1 1 0
1993 p 1 1 2 0
1993 p 1 1 3 0
1993 p 1 1 4 0
1993 p 1 1 5 0
1993 p 1 1 6 0.00601325
1993 p 1 1 7 0.0236345
1993 p 1 1 8 0.0434822
1993 p 1 1 9 0.029734
1993 p 1 1 10 0.128321
1993 p 1 1 11 0.0208733
1993 p 1 1 12 0.0336561
1993 p 1 1 13 0.0256742
1993 p 1 1 14 0.00717886
1993 p 1 1 15 0.00695981
1993 p 1 1 16 0.00367787
1993 p 1 1 17 0.00167887
1993 p 1 1 18 0.00260822
1993 p 1 1 19 0.00152075
1993 p 1 1 20 0.0036269
1993 p 1 2 1 0
1993 p 1 2 2 0
1993 p 1 2 3 0
1993 p 1 2 4 0
1993 p 1 2 5 0
1993 p 1 2 6 0
1993 p 1 2 7 0.0828907
1993 p 1 2 8 0.0959285
1993 p 1 2 9 0.117133
1993 p 1 2 10 0.250703
1993 p 1 2 11 0.0206006
1993 p 1 2 12 0.0254289
1993 p 1 2 13 0.0274259
1993 p 1 2 14 0.0128335
1993 p 1 2 15 0.00172561
1993 p 1 2 16 0.000831299
1993 p 1 2 17 0.00550479
1993 p 1 2 18 0.0113842
1993 p 1 2 19 0.0076557
1993 p 1 2 20 0.00131438
1993 N  1 99 1 0
1993 N  1 99 2 0
