year type stratum sex age value 
2015 N 1 1 1 0
2015 N 1 1 2 0
2015 N 1 1 3 0
2015 N 1 1 4 0
2015 N 1 1 5 0
2015 N 1 1 6 24.0733
2015 N 1 1 7 388.673
2015 N 1 1 8 34.5114
2015 N 1 1 9 2292.7
2015 N 1 1 10 8636.07
2015 N 1 1 11 5468.53
2015 N 1 1 12 8200.24
2015 N 1 1 13 10309.9
2015 N 1 1 14 8245.15
2015 N 1 1 15 3828.24
2015 N 1 1 16 723.159
2015 N 1 1 17 756.43
2015 N 1 1 18 530.291
2015 N 1 1 19 967.312
2015 N 1 1 20 2645.69
2015 Biomass 1 1 1 0
2015 Biomass 1 1 2 0
2015 Biomass 1 1 3 0
2015 Biomass 1 1 4 0
2015 Biomass 1 1 5 0
2015 Biomass 1 1 6 4.45356
2015 Biomass 1 1 7 146.642
2015 Biomass 1 1 8 6.93782
2015 Biomass 1 1 9 982.331
2015 Biomass 1 1 10 3783.76
2015 Biomass 1 1 11 2508.05
2015 Biomass 1 1 12 4171.09
2015 Biomass 1 1 13 5444.44
2015 Biomass 1 1 14 4685.77
2015 Biomass 1 1 15 2371.98
2015 Biomass 1 1 16 486.067
2015 Biomass 1 1 17 482.036
2015 Biomass 1 1 18 326.97
2015 Biomass 1 1 19 633.919
2015 Biomass 1 1 20 1904.77
2015 N_Kimura   1 1 1 0
2015 N_Kimura   1 1 2 0
2015 N_Kimura   1 1 3 0
2015 N_Kimura   1 1 4 0
2015 N_Kimura   1 1 5 0
2015 N_Kimura   1 1 6 18.6326
2015 N_Kimura   1 1 7 300.831
2015 N_Kimura   1 1 8 26.7116
2015 N_Kimura   1 1 9 1774.54
2015 N_Kimura   1 1 10 6684.28
2015 N_Kimura   1 1 11 4232.62
2015 N_Kimura   1 1 12 6346.95
2015 N_Kimura   1 1 13 7979.8
2015 N_Kimura   1 1 14 6381.71
2015 N_Kimura   1 1 15 2963.04
2015 N_Kimura   1 1 16 559.721
2015 N_Kimura   1 1 17 585.473
2015 N_Kimura   1 1 18 410.443
2015 N_Kimura   1 1 19 748.695
2015 N_Kimura   1 1 20 2047.75
2015 avg_wt_age 1 1 1 0
2015 avg_wt_age 1 1 2 0
2015 avg_wt_age 1 1 3 0
2015 avg_wt_age 1 1 4 0
2015 avg_wt_age 1 1 5 0
2015 avg_wt_age 1 1 6 0.185
2015 avg_wt_age 1 1 7 0.377289
2015 avg_wt_age 1 1 8 0.20103
2015 avg_wt_age 1 1 9 0.42846
2015 avg_wt_age 1 1 10 0.438134
2015 avg_wt_age 1 1 11 0.458633
2015 avg_wt_age 1 1 12 0.508654
2015 avg_wt_age 1 1 13 0.528079
2015 avg_wt_age 1 1 14 0.568307
2015 avg_wt_age 1 1 15 0.6196
2015 avg_wt_age 1 1 16 0.672145
2015 avg_wt_age 1 1 17 0.637251
2015 avg_wt_age 1 1 18 0.616586
2015 avg_wt_age 1 1 19 0.655341
2015 avg_wt_age 1 1 20 0.719951
2015 N 1 2 1 0
2015 N 1 2 2 0
2015 N 1 2 3 0
2015 N 1 2 4 0
2015 N 1 2 5 0
2015 N 1 2 6 130.598
2015 N 1 2 7 708.365
2015 N 1 2 8 334.337
2015 N 1 2 9 2511.2
2015 N 1 2 10 13014.5
2015 N 1 2 11 8195.97
2015 N 1 2 12 8719.76
